"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP069080",233,"2016-02-08","University of Minnesota","Dept of Computer Science","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Diverse Zea mays primary root transcriptomes","Co-expression browser for data visualization: http://csbio.cs.umn.edu/cob","PRJNA304663",NA,"This study was designed to identify root specific transcriptome variation that occurs across genotypically diverse maize lines.",NA,"2016"
"SRP059884",230,"2015-10-23","University of Minnesota",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","mCHH island in maize",NA,"PRJNA288155",NA,"The maize genome is relatively large (~2.3Gb) and has a complex organization of interspersed genes and transposable elements which necessities frequent boundaries between different types of chromatin. The examination of maize genes and conserved non-coding sequences reveals that many of these are flanked by regions of elevated asymmetric CHH (where H is any base except G) methylation. These mCHH islands are quite short (~100bp) and are enriched near active genes. The analysis of DNA methylation in other sequence contexts and several chromatin modifications reveal that the mCHH island marks the transition from heterochromatin associated modifications to euchromatin associated modifications. The mCHH island often occurs at the edge of the transposon that is located nearest to the gene. The presence of a mCHH island is fairly consistent in several distinct tissues that were surveyed but shows some variation among different haplotypes. The presence of InDels in promoters often influences the presence and position of the mCHH island. The mCHH islands are dependent upon RNA-directed DNA methylation activities. The mCHH islands are lost in the mop1 and mop3 mutants but the nearby genes do not necessarily exhibit altered expression levels. Instead, the loss of the mCHH island often results in the erosion of heterochromatic marks into the nearby transposon. This suggests that mCHH islands and RNA-directed DNA methylation near maize genes may act to preserve the silencing of transposons from activity of the genes.",NA,"2015"
"SRP009896",221,"2014-03-26","Cornell University","Buckler Lab","ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Genotyping-by-sequencing of maize NAM population",NA,"NAM_GBS_2011_12_study",NA,"Genotyping-by-sequencing of maize NAM population.","this study was conducted according to the protocol described in PLoS One. 2011 May 4;6(5):e19379.","2014"
"SRP077030",214,"2016-06-24","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays cultivar:MoG Genome sequencing","JGI Portal For Zea mays MoG: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012525&","PRJNA251194",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP037559",188,"2014-08-02","China Agricultural University",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA237837",NA,"We explored the expression profile among the development of maize embryo and endosperm",NA,"2014"
"SRP068070",181,"2016-03-08","Biotechnology Research Institute, Chinese Academy of Agricultural Sciences","Haiyang Wang's lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Transcriptomic profiling of shade avoidance response and deetiolation in Zea mays",NA,"PRJNA307613",NA,"The shade avoidance response (largely mediated by inactivation of phyB) and deetiolation under FRc (mainly mediated by activation of phyA) in Zea mays was transcriptionally profiled by RNA-Seq.",NA,"2016"
"SRP070875",180,"2016-03-04","Huazhong Agricultural University","National Key Laboratory of Crop Genetic Improvemen","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Raw sequence reads",NA,"PRJNA312736",NA,"To develop highly valuable genetic variants, 522 maize diverse inbred lines were pooled toghter to sequence using reduced genome sequencing (GBS). 1,255 M raw 100bp SE reads were achieved by GBS platform. In this study, 1.25 M high density single nucleotide polymorphisms (SNP) markers were obtained by combining reduced genome sequencing (GBS), high-density array technologies (600K) and the previous deep RNA-sequencing data.",NA,"2016"
"SRP048795",180,"2015-03-20","University of Minnesota","Springer Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Epigenomics",NA,"PRJNA263520",NA,"DNA methylation is a chromatin modification that can be associated with altered levels of gene expression and plays an important role in the regulation of transposable elements. A collection of mutant alleles for 11 maize genes predicted to play roles in controlling DNA methylation were isolated through forward- or reverse-genetics approaches. Low-coverage whole genome bisulfite sequencing and high-coverage sequence-capture bisulfite sequencing were applied to mutant lines to determine context- and locus-specific effects of these mutations on DNA methylation profiles. Plants containing mutant alleles for components of the RNA-directed DNA methylation (RdDM) pathway exhibit loss of CHH methylation at many loci as well as CG and CHG methylation at a small number of loci. Those loci tend to have elevated CHH levels in wild-type plants relative to the average of genome-wide value, and are enriched for 21-nt to 24-nt small RNAs. Plants containing loss-of-function alleles for chromomethylase (CMT) genes exhibit strong genome-wide reductions in CHG methylation and some locus-specific loss of CHH methylation. There is evidence for two pathways mediating CHH methylation in maize with the RdDM pathway influencing CHH levels in regions near genes and in short length transposons, while an ortholog of the Arabidopsis CMT3 mediated pathway plays a role in CHH methylation present in long transposons, similar to the role played by CMT2 in Arabidopsis. In an attempt to identify stocks with stronger reductions in DNA methylation levels than provided by single gene mutations, we performed crosses to create double mutants for the maize CMT3 orthologs, Zmet2 and Zmet5, and for the maize DDM1 orthologs, Chr101 and Chr106. While loss-of-function alleles are viable as single gene mutants, the double mutants were not recovered, suggesting that severe perturbations of the maize methylome may have stronger deleterious phenotypic effects than in Arabidopsis.",NA,"2015"
"SRP021131",178,"2013-11-14","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","RNA-seq Analysis of FlbD-, AbaA-, and WetA-dependent Genes in Fusarium graminearum Z-3639",NA,"GSE46133",NA,"Fusarium graminearum (teleomorph Gibberella zeae) is a prominent pathogen that infects major cereal crops, such as wheat, barley, and maize. Conidiogenesis had been intensively studied in Aspergillus nidulans and regulatory pathway genes have been known to regulate conidiogenesis in stage specific manner. We reported the functional analyses of flbD, abaA, and wetA orthologs in F. graminearum. To understand genome-wide transcriptional profiling of conidiation, we employed RNA-seq of the wild-type Fusarium graminearum Z-3639 and each gene deletion mutants with three time courses (0 h, 6 h and 12 h after induction of conidiogenesis). Overall design: AbaA experiment: 6 samples examined: 0 h, 6 h and 12 h after induction of conidiogenesis of Fusarium graminearum Z-3639 wild type and ?abaA(?abaA::gen) mutant strains WetA experiment: 3 samples examined: 0 h, 6 h and 12 h after induction of conidiogenesis of Fusarium graminearum ?wetA(?wetA::gen) mutant strains flbD experiment: 3 samples examined: 0 h, 6 h and 12 h after induction of conidiogenesis of Fusarium graminearum ?flbD(?flbD::gen) mutant strains",NA,"2013"
"SRP029238",171,"2016-08-19","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Maize proteome and transcriptome atlas",NA,"GSE50191",NA,"An atlas of RNA and protein expression maps across a diverse set of developmental tissues from Zea mays Overall design: RNA-seq collected from a variety of maize tissues",NA,"2016"
"SRP018088",170,"2013-07-31","University of Minnesota","Springer Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Variation",NA,"PRJNA173886","2012-08-27","Profiling transcription levels across many parental inbreds from the maize nested association mapping population.",NA,"2013"
"SRP052697",168,"2015-10-07","University of Bonn","INRES, Crop Functional Genomics","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA271928",NA,"In this study RNA-sequencing was used to monitor gene expression changes in four tissues (meristematic zone, elongation zone, and cortex and stele of the mature zone) of maize (Zea mays L.) primary roots in response to water deficit to gain a better understanding of the mechanisms underlying drought tolerance.",NA,"2015"
"SRP067853",165,"2016-01-05","UC Berkeley","Freeling","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Mutational analysis of cell-specific gene expression in maize homeologous genes using a sorghum outgroup",NA,"PRJNA306885",NA,"Due to redundancy following a whole genome duplication, maize homeologous genes can evolve changes in the pattern of expression of one gene relative to its homeolog. In some cases these changes may be accompanied by deletion of a conserved noncoding sequence (CNS) from one of the two homeologs, a testable source of the change in expression (Freeling et al (2012) Curr. Opin. Plant Biol. 15:131-139). The most effective use of natural promoter bashing (fractionation mutagenesis) utilizes cell-specific transcriptosomes. In this project cell-specific expression of maize homeologous genes is compared, using sorghum as an outgroup to differentiate gain-of-expression from loss-of-expression.In the first set of experiments, fractionation mutagenesis is applied to two cell types undergoing tip growth, pollen and root hair, root hairs being defined as the difference in expression between root samples with and without root hairs. A third cell type, microspore, is also included.In the second set of experiments, fractionation mutagenesis is applied to another very specific developmental target, the cell/tissue-specific domains in the leaf primordia at the blade-sheath boundary that initiate ligule formation. Sorghum epidermal blade and ligule transcriptosome data supplement transcriptosome data already available in maize (Johnston et al. (2014) Plant Cell 26:4718-4732) (SRA project PRJNA287059).",NA,"2016"
